,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,hardship_flag,disbursement_method,debt_settlement_flag,label
17,23500,23450,22995.230962183603,60,16.82,580.53,1.0,8.0,11.0,1,112000.0,1,5.0,0.0,18.16,0.0,0.0,9.0,1.0,16141,82.8,20.0,0.0,0.0,34824.9883187878,33921.52,23450.0,11374.99,0.0,0.0,0.0,1201.06,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
18,12000,8025,8025.0,36,5.79,243.38,5.0,28.0,11.0,1,92000.0,1,5.0,0.0,12.82,0.0,1.0,13.0,0.0,17137,65.2,42.0,0.0,0.0,8744.578047114599,8744.58,8025.0,719.58,0.0,0.0,0.0,1466.2,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
19,10000,10000,10000.0,36,7.07,309.1,5.0,28.0,11.0,1,55000.0,2,4.0,13.0,28.89,0.0,0.0,9.0,0.0,857,2.2,29.0,4706.12,4706.12,6174.14,6174.14,5293.88,880.26,0.0,0.0,0.0,309.1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
20,21000,21000,21000.0,60,12.62,473.74,3.0,19.0,11.0,1,98000.0,2,5.0,0.0,25.91,0.0,0.0,16.0,0.0,13831,36.5,32.0,0.0,0.0,22419.8653659128,22419.87,21000.0,1419.87,0.0,0.0,0.0,20065.89,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
21,8000,6700,6675.0,60,7.88,135.47,5.0,25.0,11.0,0,84996.0,0,2.0,13.0,9.25,0.0,4.0,11.0,0.0,95584,59.4,30.0,0.0,0.0,7982.931024752,7953.14,6700.0,1282.93,0.0,0.0,0.0,2442.4,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
22,11475,11475,11450.0,36,13.11,387.25,4.0,21.0,6.37403400309119,1,42000.0,2,5.0,0.0,13.8,0.0,0.0,9.0,0.0,14071,71.4,15.0,0.0,0.0,12872.382347758701,12844.34,11475.0,1397.38,0.0,0.0,0.0,8229.78,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
23,32400,26500,26475.0,60,22.85,744.77,3.2075936883629192,17.74161735700197,3.0,2,63000.0,1,3.0,0.0,14.11,0.0,0.0,7.0,1.0,6576,96.7,19.0,0.0,0.0,10293.76,10284.07,2903.16,6031.69,0.0,1358.91,12.92,759.18,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
24,10000,10000,9900.0,36,10.99,327.34,4.0,21.0,6.37403400309119,0,32700.0,1,5.0,0.0,30.9,2.0,1.0,10.0,0.0,6099,66.3,24.0,0.0,0.0,11778.1222316577,11660.34,10000.0,1778.12,0.0,0.0,0.0,327.33,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
25,12000,7675,7675.0,60,10.59,165.31,4.0,23.0,0.0,0,48000.0,2,3.0,2.0,16.32,0.0,2.0,10.0,0.0,18833,32.4,24.0,0.0,0.0,4112.68,4112.68,2458.41,1342.39,0.0,311.88,3.1055000038,27.37,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
26,5000,5000,5000.0,36,17.27,178.94,2.0,13.0,3.0,0,22000.0,1,3.0,0.0,40.37,0.0,0.0,11.0,1.0,5952,45.8,12.0,0.0,0.0,3414.24,3414.24,2318.68,1095.56,0.0,0.0,0.0,178.94,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0,1,0,1
27,8000,8000,7725.0,36,11.06,262.14,4.0,22.0,2.0,0,76125.0,0,4.0,2.0,24.36,0.0,0.0,13.0,0.0,22180,69.0,23.0,7040.44,6798.43,1305.78,1260.89,959.56,346.22,0.0,0.0,0.0,262.14,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
28,8800,3000,1550.0,36,12.92,100.97,2.0,13.0,6.0,0,38000.0,0,2.0,0.0,19.52,1.0,4.0,17.0,0.0,8443,33.2,37.0,0.0,0.0,3288.7707186115003,1699.2,3000.0,288.77,0.0,0.0,0.0,2380.3,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
29,14900,14900,14900.0,36,15.41,519.52,2.0,14.0,7.0,0,35500.0,0,3.0,2.0,26.28,0.0,0.0,16.0,0.0,20659,79.2,20.0,0.0,0.0,8235.78,8235.78,4998.42,2204.7,0.0,1032.66,185.8787999975,519.52,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
30,10200,10200,10200.0,60,21.99,281.66,0.0,4.0,2.0,1,52000.0,0,4.0,0.0,30.67,2.0,0.0,19.0,0.0,5784,109.1,46.0,3672.54,3672.54,12701.08,12701.08,6527.46,6158.62,15.0,0.0,0.0,281.66,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
31,23500,14575,14410.907001781876,60,13.23,333.35,3.0,19.0,11.0,1,51000.0,0,5.0,0.0,16.85,0.0,1.0,9.0,0.0,15248,66.6,21.0,0.0,0.0,19944.7100085928,19682.06,14575.0,5369.71,0.0,0.0,0.0,2288.2,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
32,23500,14725,14059.262463405612,36,10.25,476.87,4.0,23.0,5.0,1,46000.0,1,5.0,4.0,19.67,0.0,1.0,9.0,0.0,22738,45.9,22.0,0.0,0.0,16284.812970025,15406.37,14725.0,1559.82,0.0,0.0,0.0,9618.99,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
33,5000,5000,5000.0,36,13.56,169.83,3.0,19.0,11.0,1,95000.0,0,4.0,5.0,22.45,1.0,2.0,12.0,0.0,2200,6.9,25.0,4772.06,4772.06,335.89,335.89,227.94,107.95,0.0,0.0,0.0,169.83,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
34,10000,9225,8619.703424041069,60,7.88,186.53,5.0,25.0,0.0,0,46800.0,1,5.0,7.0,22.15,0.0,0.0,7.0,0.0,9588,61.1,10.0,0.0,0.0,11191.0999997998,10425.59,9225.0,1966.1,0.0,0.0,0.0,206.42,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
35,15000,15000,15000.0,60,24.74,437.99,1.0,7.0,3.0,0,60000.0,2,4.0,2.0,11.76,0.0,0.0,6.0,0.0,13179,58.1,7.0,10187.17,10187.17,12140.01,12140.01,4812.83,7327.18,0.0,0.0,0.0,437.99,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
36,24000,24000,24000.0,60,26.24,721.99,1.0,5.0,11.0,1,63000.0,0,4.0,3.0,16.6,0.0,0.0,16.0,0.0,9581,22.1,31.0,17531.16,17531.16,17979.78,17979.78,6468.84,11510.94,0.0,0.0,0.0,721.99,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
37,12000,7750,7750.0,60,6.54,151.79,5.0,26.0,11.0,0,65000.0,0,5.0,6.0,6.13,0.0,1.0,4.0,0.0,17291,24.0,8.0,0.0,0.0,9106.8973064352,9106.9,7750.0,1356.9,0.0,0.0,0.0,151.28,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
38,10800,10800,10800.0,36,9.16,344.25,4.0,23.0,3.0,1,63814.0,2,0.0,13.0,20.63,0.0,1.0,13.0,0.0,13358,69.6,39.0,680.37,680.37,11699.0,11699.0,10119.63,1579.37,0.0,0.0,0.0,344.25,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
39,21000,18350,18300.0,60,12.99,417.43,3.0,19.0,1.0,1,59750.0,1,5.0,3.0,12.31,0.0,2.0,14.0,0.0,18513,14.2,41.0,0.0,0.0,20571.5770933831,20515.52,18350.0,2221.58,0.0,0.0,0.0,16001.21,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
40,7500,6000,1438.480369273738,36,10.71,195.61,4.0,20.0,4.0,1,41000.0,1,5.0,0.0,12.38,0.0,3.0,11.0,0.0,21196,46.2,14.0,0.0,0.0,7041.9316020475,1499.93,6000.0,1041.93,0.0,0.0,0.0,195.91,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
41,35000,27000,26665.61370142063,60,11.71,596.66,4.0,22.0,1.0,1,130000.0,1,5.0,0.0,17.61,0.0,0.0,11.0,0.0,19452,39.7,23.0,0.0,0.0,34514.5999842045,33989.09,27000.0,7514.6,0.0,0.0,0.0,12454.19,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
42,24000,14550,12129.16790046136,36,16.82,517.45,1.0,8.0,1.0,0,97000.0,1,5.0,13.0,2.35,0.0,1.0,2.0,0.0,3056,87.3,7.0,0.0,0.0,18628.496530912802,14974.66,14550.0,4078.5,0.0,0.0,0.0,544.69,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
43,35000,35000,34800.0,60,13.33,802.29,3.0,17.0,11.0,1,106000.0,2,5.0,0.0,31.42,0.0,0.0,17.0,0.0,36791,52.8,35.0,0.0,0.0,41826.511375464,41587.5,35000.0,6826.51,0.0,0.0,0.0,9004.34,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
44,15000,10325,10251.187234667048,60,17.56,259.73,1.0,6.0,7.0,2,32004.0,1,3.0,0.0,11.96,0.0,0.0,7.0,0.0,9805,77.2,14.0,0.0,0.0,2108.89,1938.73,670.88,875.32,0.0,562.69,103.2217999962,259.73,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
45,12000,12000,12000.0,36,19.53,443.1,2.0,10.0,3.0,0,55000.0,1,3.0,0.0,22.37,0.0,1.0,12.0,0.0,10433,100.3,34.0,0.0,0.0,6275.01,6275.01,3855.49,2419.52,0.0,0.0,0.0,443.1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
46,35000,21800,21775.0,60,12.42,489.57,4.0,21.0,11.0,0,90000.0,1,5.0,0.0,26.33,0.0,0.0,13.0,0.0,35683,59.3,25.0,0.0,0.0,29374.073315777,29340.39,21800.0,7574.07,0.0,0.0,0.0,489.44,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
47,20000,14725,14425.0,36,7.49,457.98,5.0,26.0,8.0,1,120000.0,1,5.0,3.0,4.34,0.0,0.0,10.0,0.0,90328,1.0,31.0,0.0,0.0,15857.1461078599,15534.08,14725.0,1132.15,0.0,0.0,0.0,9482.58,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
48,17500,10650,9350.0,60,6.54,208.58,5.0,26.0,1.0,0,70000.0,2,5.0,2.0,5.5,0.0,0.0,7.0,0.0,10562,51.8,10.0,0.0,0.0,10708.370000001,9401.27,10650.0,58.37,0.0,0.0,0.0,10708.78,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
49,10000,9175,9150.0,36,8.49,289.59,5.0,25.0,11.0,2,32956.0,0,5.0,0.0,15.07,0.0,1.0,13.0,0.0,5944,21.8,30.0,0.0,0.0,10336.361238459,10308.2,9175.0,1161.36,0.0,0.0,0.0,2845.41,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
50,16000,16000,16000.0,36,10.41,519.37,4.0,22.0,7.0,2,50000.0,0,4.0,0.0,32.65,0.0,0.0,10.0,0.0,6894,14.0,18.0,11627.34,11627.34,5643.67,5643.67,4372.66,1271.01,0.0,0.0,0.0,519.37,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1
51,18000,18000,18000.0,60,28.69,567.97,0.0,4.0,3.0,0,68000.0,2,3.0,13.0,7.91,0.0,0.0,4.0,0.0,1082,51.5,9.0,0.0,0.0,10219.86,10219.86,2256.7,5637.5,0.0,2325.66,418.6188,567.97,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
52,33000,33000,33000.0,60,13.99,767.69,3.0,16.0,8.0,0,103000.0,2,5.0,0.0,20.98,0.0,1.0,17.0,0.0,32132,61.4,40.0,0.0,0.0,40424.1340158557,40424.13,33000.0,7424.13,0.0,0.0,0.0,24353.94,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
53,3000,2000,0.0,36,12.54,66.95,3.0,15.0,0.0,1,31000.0,0,5.0,3.0,3.02,0.0,3.0,8.0,0.0,3574,60.6,15.0,0.0,0.0,2399.78,0.0,2000.0,399.78,0.0,0.0,0.0,391.28,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
54,12000,12000,12000.0,36,10.91,392.36,4.0,21.0,4.0,0,75000.0,2,4.0,9.0,8.58,1.0,0.0,3.0,0.0,195,4.9,12.0,6487.52,6487.52,7047.93,7047.93,5512.48,1535.45,0.0,0.0,0.0,392.36,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
55,16000,16000,16000.0,60,16.02,389.26,3.0,15.0,1.0,2,102000.0,0,4.0,0.0,20.47,1.0,1.0,16.0,0.0,16207,58.7,33.0,11774.41,11774.41,8179.88,8179.88,4225.59,3954.29,0.0,0.0,0.0,389.26,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
56,21000,21000,21000.0,60,17.77,530.64,2.0,14.0,4.0,1,65000.0,1,5.0,0.0,9.63,0.0,4.0,21.0,0.0,13171,24.4,42.0,0.0,0.0,23193.9913331506,23193.99,21000.0,2193.99,0.0,0.0,0.0,16495.56,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
57,9000,1525,1525.0,36,11.89,50.58,4.0,21.0,11.0,2,98736.0,0,3.0,6.0,8.12,0.0,0.0,9.0,0.0,36192,84.6,19.0,0.0,0.0,1045.12,1045.12,776.98,230.42,0.0,37.72,0.45,50.58,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
58,19150,15850,15350.0,36,6.99,489.33,5.0,27.0,4.0,1,79100.0,0,5.0,2.0,5.69,0.0,0.0,9.0,0.0,18578,23.1,14.0,0.0,0.0,17615.8608373906,17060.16,15850.0,1765.86,0.0,0.0,0.0,499.48,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
59,10000,6850,6314.227990410137,36,6.91,211.23,5.0,25.0,3.0,0,81004.0,2,5.0,13.0,9.14,0.0,0.0,6.0,0.0,0,0.0,41.0,0.0,0.0,7551.0567006186975,6903.56,6850.0,701.06,0.0,0.0,0.0,2061.78,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
60,20000,16200,15650.0,36,6.91,499.55,5.0,25.0,11.0,1,112000.0,1,5.0,0.0,12.6,0.0,0.0,16.0,0.0,77812,47.3,33.0,0.0,0.0,17983.8046865455,17373.24,16200.0,1783.8,0.0,0.0,0.0,508.84,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
61,24000,24000,24000.0,60,19.03,622.97,2.0,12.0,6.37403400309119,0,11150.0,1,4.0,0.0,119.48,0.0,0.0,6.0,0.0,39452,97.4,7.0,21112.15,21112.15,6801.92,6801.92,2887.85,3914.07,0.0,0.0,0.0,622.97,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1
62,16000,16000,16000.0,60,18.45,410.23,2.0,13.0,2.0,0,60000.0,2,4.0,0.0,14.34,0.0,0.0,6.0,0.0,17051,66.1,16.0,14427.69,14427.69,3675.67,3675.67,1572.31,2103.36,0.0,0.0,0.0,410.23,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
63,25000,24975,24975.0,60,23.83,716.02,0.0,0.0,11.0,1,114000.0,2,5.0,0.0,20.21,0.0,2.0,14.0,0.0,21842,87.4,46.0,0.0,0.0,26453.0049054903,26453.0,24975.0,1478.0,0.0,0.0,0.0,25026.06,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
64,22750,14400,14283.700622269536,36,6.54,441.61,5.0,26.0,0.0,0,49404.0,1,5.0,0.0,22.52,0.0,0.0,8.0,0.0,11618,38.9,24.0,0.0,0.0,15774.7086964054,15636.71,14400.0,1374.71,0.0,0.0,0.0,3854.9,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
65,20000,16075,16025.0,36,10.74,524.3,4.0,23.0,8.0,2,108000.0,1,5.0,0.0,30.34,0.0,0.0,16.0,0.0,16150,41.0,30.0,0.0,0.0,18196.552985573602,18139.95,16075.0,2121.55,0.0,0.0,0.0,8772.91,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
66,10000,6150,5564.451186469901,36,6.17,187.57,5.0,27.0,0.0,1,170000.0,1,5.0,5.0,15.92,0.0,2.0,8.0,0.0,26113,75.5,39.0,0.0,0.0,6718.8780037114,6023.6,6150.0,568.88,0.0,0.0,0.0,1660.56,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
67,15000,15000,15000.0,60,8.18,305.44,4.0,24.0,6.37403400309119,1,36664.0,0,4.0,0.0,24.36,0.0,1.0,18.0,0.0,102622,33.9,44.0,5692.57,5692.57,12210.78,12210.78,9307.43,2903.35,0.0,0.0,0.0,305.44,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
68,22750,14000,13726.509193740356,36,11.49,461.6,4.0,21.0,2.0,1,80004.0,0,5.0,0.0,14.73,0.0,3.0,11.0,0.0,26639,41.0,49.0,0.0,0.0,16114.711897416399,15743.82,14000.0,2114.72,0.0,0.0,0.0,6893.06,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
69,20000,12100,10007.686810705172,36,6.54,371.08,5.0,26.0,3.0,0,65000.0,1,5.0,0.0,13.26,0.0,0.0,10.0,0.0,6928,43.6,17.0,0.0,0.0,13358.7867339601,10871.9,12100.0,1258.79,0.0,0.0,0.0,384.32,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
70,13925,13925,13925.0,36,14.99,482.65,3.0,15.0,6.0,1,52000.0,0,5.0,2.0,31.83,0.0,0.0,8.0,0.0,14530,74.1,22.0,0.0,0.0,17003.5332119904,17003.53,13925.0,3078.53,0.0,0.0,0.0,5443.12,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
71,25000,22150,21320.40008231045,36,15.58,774.15,2.0,12.0,7.0,0,90000.0,2,5.0,0.0,14.43,0.0,1.0,15.0,0.0,25563,78.8,36.0,0.0,0.0,28149.5015499788,26961.37,22150.0,5999.5,0.0,0.0,0.0,891.21,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
72,30000,30000,30000.0,36,14.08,1026.5,3.0,17.0,6.0,0,72000.0,1,4.0,0.0,19.62,0.0,0.0,6.0,1.0,8286,67.9,7.0,19007.74,19007.74,15374.03,15374.03,10992.26,4381.77,0.0,0.0,0.0,1026.5,0.0,1,0,0.0,0.0,0.0,1.0,0.0,0,0,0,1
73,35000,35000,35000.0,36,14.08,1197.58,3.0,17.0,6.0,0,60000.0,1,4.0,0.0,38.3,0.0,0.0,12.0,0.0,47935,77.7,31.0,19330.47,19330.47,21556.44,21556.44,15669.53,5886.91,0.0,0.0,0.0,1197.58,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1
74,40000,40000,40000.0,36,7.56,1245.36,5.0,27.0,11.0,1,165000.0,0,4.0,0.0,18.89,0.0,1.0,9.0,0.0,201265,47.2,25.0,38007.02,38007.02,2473.92,2473.92,1992.98,480.94,0.0,0.0,0.0,1245.36,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
75,35000,22800,22775.0,60,15.23,545.17,3.0,15.0,3.0,1,220000.0,1,5.0,0.0,11.42,0.0,3.0,15.0,0.0,19338,41.5,41.0,0.0,0.0,32322.3599695154,32286.92,22800.0,9522.36,0.0,0.0,0.0,3897.69,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
76,25000,25000,25000.0,60,10.42,536.36,4.0,22.0,11.0,0,104000.0,2,5.0,0.0,7.65,0.0,0.0,8.0,0.0,341,0.3,18.0,0.0,0.0,26344.6563097789,26344.66,25000.0,1344.66,0.0,0.0,0.0,23725.36,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
77,6000,6000,6000.0,36,9.99,193.58,4.0,22.0,8.0,1,55000.0,2,5.0,5.0,26.69,1.0,0.0,9.0,0.0,8763,57.3,16.0,0.0,0.0,6306.17,6306.17,6000.0,306.17,0.0,0.0,0.0,5344.93,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
78,10000,10000,10000.0,36,5.32,301.15,5.0,29.0,11.0,0,50400.0,0,5.0,0.0,15.4,0.0,1.0,12.0,0.0,10821,18.4,26.0,0.0,0.0,10627.778268915401,10627.78,10000.0,627.78,0.0,0.0,0.0,5793.13,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
79,24000,15150,15125.0,60,20.99,409.78,0.0,2.0,6.0,1,60000.0,1,5.0,3.0,22.6,0.0,2.0,17.0,1.0,15527,90.8,25.0,0.0,0.0,19914.6418071045,19881.78,15150.0,4764.64,0.0,0.0,0.0,12139.98,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
