id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,35000,25525,25425.0, 60 months,22.95,718.83,F,F1,,< 1 year,MORTGAGE,160000.0,Verified,Oct-2012,Charged Off,n,,,debt_consolidation,debt consolitdation,774xx,TX,21.37,1.0,Dec-1994,3.0,14.0,,21.0,0.0,37518,81.9,51.0,f,0.0,0.0,13213.8,13162.03,3655.08,6386.42,0.0,3172.3,31.501800010900002,Jan-2014,718.83,,Oct-2016,0.0,14.0,1,Individual,,,,0.0,0.0,336059.0,,,,,,,,,,,,45800.0,,,,9.0,17687.0,5572.0,83.8,0.0,0.0,146.0,217.0,2.0,2.0,5.0,5.0,,3.0,28.0,2.0,4.0,8.0,7.0,14.0,13.0,15.0,32.0,8.0,21.0,0.0,0.0,1.0,8.0,96.0,28.6,0.0,0.0,384671.0,123956.0,34500.0,113844.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,34475,22375,22375.0, 60 months,23.28,634.37,F,F2,Lake Merwin Campers Hideaway,10+ years,MORTGAGE,86958.0,Verified,Jul-2012,Charged Off,n,,,debt_consolidation,I Can Breath Again Loan,986xx,WA,25.46,0.0,Jul-1996,0.0,,,14.0,0.0,10711,75.4,22.0,f,0.0,0.0,22822.95,22822.95,8757.8,11510.72,0.0,2554.43,459.7973999929,Apr-2015,634.37,,Oct-2016,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,11.0,,1146.0,83.6,0.0,0.0,,,,,2.0,2.0,,9.0,,,,,6.0,,,,,,14.0,,,,,,66.7,0.0,0.0,,61258.0,7000.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20775,13325,13325.0, 60 months,23.28,377.79,F,F2,Verizon,10+ years,RENT,88000.0,Source Verified,Jul-2012,Fully Paid,n,,"  Borrower added on 07/12/12 > For a house down payment. By using these funds, it help by making my monthly housing payments less expensive than renting and I can put the extra income into paying off other bills and building equity into the home.<br>",major_purchase,Responsible Party Loan Request,750xx,TX,10.47,0.0,Jul-1996,1.0,45.0,,11.0,0.0,11386,75.4,17.0,f,0.0,0.0,22666.8146969013,22666.81,13325.0,9341.81,0.0,0.0,0.0,Aug-2017,377.2,,Feb-2019,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,8.0,,584.0,92.1,0.0,0.0,,,,,0.0,9.0,,0.0,,,,,3.0,,,,,,11.0,,,,,,66.7,0.0,0.0,,28445.0,7400.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,35000,23875,23875.0, 60 months,22.95,672.37,F,F1,"Citibank, N. A.",4 years,RENT,91200.0,Verified,Jul-2012,Fully Paid,n,,  Borrower added on 07/12/12 > Just want to pay off credit card debts and willing to do monthly direct debit from my bank account for monthlty payment.<br>,debt_consolidation,Credit Card Loan,914xx,CA,14.21,0.0,May-1995,1.0,,,17.0,0.0,13416,73.7,25.0,f,0.0,0.0,30253.1128210582,30253.11,23875.0,6378.11,0.0,0.0,0.0,Nov-2013,20852.94,,Nov-2013,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,3795.0,77.8,0.0,0.0,,,,,0.0,3.0,,3.0,,,,,10.0,,,,,,17.0,,,,,,60.0,0.0,0.0,,31387.0,17100.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,21000,13650,13650.0, 60 months,21.48,372.98,E,E4,Con Edison,10+ years,MORTGAGE,85000.0,Verified,Jul-2012,Charged Off,n,,,other,Other,103xx,NY,20.54,2.0,Sep-1994,0.0,20.0,,15.0,0.0,15623,89.3,40.0,f,0.0,0.0,6889.0,6889.0,2023.52,3190.92,0.0,1674.56,16.6727999971,Sep-2013,372.98,,Oct-2016,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,430.0,96.8,0.0,0.0,,,,,2.0,6.0,,9.0,25.0,,,,7.0,,,,,,15.0,,,,,,83.3,0.0,0.0,,48928.0,13600.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,26000,17675,17625.0, 60 months,18.55,454.14,D,D4,BCC,1 year,MORTGAGE,70000.0,Verified,Jul-2012,Fully Paid,n,,,debt_consolidation,Debt consolidation,656xx,MO,16.82,0.0,May-1999,2.0,,,14.0,0.0,24451,42.9,45.0,f,0.0,0.0,20519.6641816019,20461.62,17675.0,2844.66,0.0,0.0,0.0,Jun-2013,15981.65,,Feb-2019,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,11837.0,60.7,0.0,0.0,,,,,9.0,8.0,,2.0,,,,,4.0,,,,,,14.0,,,,,,50.0,0.0,0.0,,31112.0,30100.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,14775,14775.0, 36 months,13.99,504.91,C,C1,ITT Exelis,2 years,MORTGAGE,149311.0,Verified,Jul-2012,Fully Paid,n,,  Borrower added on 06/15/12 > My loan is to consolidate bills and save my credit<br>,debt_consolidation,Debt consolidation,731xx,OK,8.38,0.0,Oct-1992,3.0,,,12.0,0.0,9284,52.2,34.0,f,0.0,0.0,17741.2659294689,17741.27,14775.0,2966.27,0.0,0.0,0.0,Jul-2014,6144.21,,Aug-2018,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,5.0,,4881.0,44.5,0.0,0.0,,,,,2.0,4.0,,0.0,,,,,5.0,,,,,,12.0,,,,,,20.0,0.0,0.0,,27655.0,8800.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,12475,12475.0, 36 months,13.99,426.31,C,C1,US Army,10+ years,RENT,62500.0,Source Verified,Jul-2012,Fully Paid,n,,"  Borrower added on 06/16/12 > This loan can consolidate six debts into one at over half the interest rate.  The monthly payment can be reduced by over $100 and overall balance can be paid off 10-12 years faster than making minimum payments only.  Very stable income and dependable borrower in US Army that would appreciate help.<br><br>  Borrower added on 06/22/12 > After using a popular debt reduction calculator, I have determined that at least 60% funding optimizes the total interest I would pay on my debt.  It would still allow me to be debt free in 36 months (a huge relief for a brand new father).  Full funding would give me peace of mind with fewer debts.<br>",debt_consolidation,Getting rid of high rate credit cards,778xx,TX,26.66,0.0,Nov-1992,0.0,,,8.0,0.0,32429,96.2,31.0,f,0.0,0.0,13888.7583950934,13888.76,12475.0,1413.76,0.0,0.0,0.0,Jun-2013,9632.85,,Feb-2019,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,358.0,98.4,0.0,0.0,,,,,0.0,23.0,,10.0,,,,,4.0,,,,,,8.0,,,,,,100.0,0.0,0.0,,35282.0,22000.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,11550,11550.0, 36 months,13.67,392.91,B,B5,University of Houston,5 years,OWN,40000.0,Source Verified,Jul-2012,Fully Paid,n,,  Borrower added on 06/15/12 > I am ready to get out of dept by getting rid of my credit cards first.  Then working on lowering some of my household payments.<br>,debt_consolidation,Debt Consolidation,770xx,TX,17.19,0.0,Mar-1999,0.0,,,8.0,0.0,10820,59.5,19.0,f,0.0,0.0,14144.448123240702,14144.45,11550.0,2594.45,0.0,0.0,0.0,Jul-2015,394.56,,Jul-2015,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,6351.0,56.8,0.0,0.0,,,,,0.0,49.0,,,,,,,5.0,,,,,,8.0,,,,,,60.0,0.0,0.0,,12667.0,14700.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30225,20800,20775.0, 36 months,6.62,638.64,A,A2,US Army,10+ years,RENT,100000.0,Verified,Jul-2012,Fully Paid,n,,  Borrower added on 06/15/12 > Purchase crude peanut oil machinery<br>,small_business,Business,660xx,KS,2.83,0.0,Dec-1989,0.0,,,12.0,0.0,10586,14.6,24.0,f,0.0,0.0,22835.4994170486,22808.05,20800.0,2035.5,0.0,0.0,0.0,Oct-2014,6249.05,,Feb-2019,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,38175.0,20.4,0.0,0.0,,,,,1.0,12.0,,12.0,,,,,5.0,,,,,,12.0,,,,,,0.0,0.0,0.0,,10586.0,47966.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,35000,22150,22150.0, 36 months,12.12,736.97,B,B3,"AST Fund Solutions, LLC",3 years,RENT,100000.0,Verified,Jul-2012,Fully Paid,n,,  Borrower added on 06/15/12 > Pay off American Express and reduce my revolving debt.<br>,credit_card,Amex Refinance,120xx,NY,31.41,0.0,Apr-1992,2.0,,,9.0,0.0,19408,87.0,34.0,f,0.0,0.0,26328.548092823698,26328.55,22150.0,4178.55,0.0,0.0,0.0,Dec-2014,5697.74,,Feb-2019,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,2892.0,87.0,0.0,0.0,,,,,0.0,96.0,,1.0,,,,,2.0,,,,,,9.0,,,,,,50.0,0.0,0.0,,125565.0,22300.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,6375,6375.0, 36 months,13.67,216.87,B,B5,MTA,10+ years,RENT,52000.0,Not Verified,Jul-2012,Charged Off,n,,,debt_consolidation,CREDIT CONSOLIDATION,111xx,NY,23.38,0.0,Sep-1991,2.0,,,9.0,0.0,10916,70.0,20.0,f,0.0,0.0,3819.06,3819.06,2343.78,907.47,0.0,567.81,5.660100001900001,Oct-2013,216.87,,Oct-2016,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,4.0,,526.0,95.1,0.0,0.0,,,,,0.0,15.0,,3.0,,,,,3.0,,,,,,9.0,,,,,,100.0,0.0,0.0,,36661.0,10800.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,14400,11675,11675.0, 36 months,6.62,358.47,A,A2,PNC Bank,< 1 year,RENT,40000.0,Verified,Jul-2012,Fully Paid,n,,  Borrower added on 06/15/12 > This loan will be used to consolidate some high interest credit card debt as well as assist with moving expenses at a much lower rate than a typical credit card.  My credit is excellent and I appreciate everyone's assistance.<br>,debt_consolidation,Debt consolidation and relocation,088xx,NJ,11.13,0.0,Apr-1999,2.0,,,15.0,0.0,4400,14.4,26.0,f,0.0,0.0,12737.809330254098,12737.81,11675.0,1062.81,0.0,0.0,0.0,Aug-2014,3264.95,,Oct-2018,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,7.0,,19100.0,18.7,0.0,0.0,,,,,0.0,1.0,,3.0,,,,,8.0,,,,,,15.0,,,,,,16.7,0.0,0.0,,14853.0,23500.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16100,12525,12450.0, 36 months,13.11,422.69,B,B4,Crusader Community Health,5 years,MORTGAGE,84000.0,Verified,Jul-2012,Fully Paid,n,,  Borrower added on 06/15/12 > I would like to have one monthly payment that will help me pay off credit card debt.<br>,debt_consolidation,Consolidation,610xx,IL,18.58,0.0,Nov-1992,2.0,,,10.0,0.0,18313,70.7,51.0,f,0.0,0.0,13751.2384245742,13668.9,12525.0,1226.24,0.0,0.0,0.0,May-2013,9958.63,,Feb-2019,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,10.0,,7587.0,70.7,0.0,0.0,,,,,2.0,9.0,,0.0,,,,,4.0,,,,,,10.0,,,,,,50.0,0.0,0.0,,126827.0,25900.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,12925,12675.0, 36 months,12.12,430.04,B,B3,Truitt Bros Inc,10+ years,RENT,70000.0,Verified,Jul-2012,Fully Paid,n,,  Borrower added on 06/15/12 > I need to simplify my debt by paying off higher interest credit cards and reduce monthly outgoing costs. I am a good risk as I have had another loan with lending club and all payments were on time. I have worked for the same company for 27 years. Thanks for considering my loan.<br>,debt_consolidation,Simplify my debt,973xx,OR,27.27,0.0,Dec-1997,0.0,,,10.0,0.0,10681,61.0,33.0,f,0.0,0.0,14786.8684622748,14500.86,12925.0,1861.87,0.0,0.0,0.0,Jan-2014,7480.62,,Feb-2019,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,5.0,,2505.0,78.2,0.0,0.0,,,,,5.0,2.0,,11.0,,,,,3.0,,,,,,10.0,,,,,,66.7,0.0,0.0,,46210.0,11500.0,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
